id,short_name
01,CampRd(Broady)
02,Melbourne(Laverton)
03,Wollongong
04,LemonTree(Newcastle)
05,Carnarvon
06,Geraldton
07,Wyndham
08,Kanigan(Gympie)
09,Gove
10,DarwinAP
11,Adelaide
12,Perth(old)
14,Gambier
15,Dampier
16,PortHeadland
17,Broome
18,Weipa(old)
19,Cairns
20,Townsville
21,MtSturt(old)
22,Mackay
23,Gladstone
24,Bowen
25,AliceSprings
26,PerthAP
27,Woomera
28,Grafton
29,Learmonth
30,Mildura
31,Albany
32,Esperance
33,Ceduna
34,CairnsAP
35,CoffsHarbour(old)
36,GulfCarp(mornington)
37,Hobart
38,Newdegate
39,HallsCk
40,CaptainsFlat(ACT)
41,WillisIs
42,Tindal
43,BrisbaneAP
44,Giles
45,Eucla
46,Sellick(Adelaide)
47,Rockhampton
48,Kalgoorlie
49,NEVic(Yarrawonga)
50,Marburg(Brisbane)
51,MelbourneAP
52,WestTakone
53,Moree
54,Kurnell
55,WaggaWagga
56,Longreach
57,EastSale(old)
58,SthDoodlakine
63,Berrima(Darwin)
64,BucklandPark(Adelaide)
65,TennantCreek
66,MtStaplton(Brisbane)
67,Warrego
68,Bairnsdale
69,Namoi(Tamworth)
70,Serpentine (Perth)
71,TerryHills(Sydney)
72,Emerald
73,HerveyRange(Townsville)
75,MtIsa
76,Koonya(Hobart)
77,Arafura
78,Weipa(new)
79,Wathroo
